STATION,LOGNUM,WATERBODY,Town,SITEDIR,ECOREGION,BiophysicalRegion,HUC.EIGHT,Class,SAMPLEMETHOD,WIDTH,DEPTH,FLOW,THERMO,SPC,DO,I01,I02,I03,I04,I05,I06,I07,I08,I09,I11,I12,I13,I15,I17,I18,I19,I21,I23,I25,I26,I28,I30,PA1,PB1,PC1,PNA1,PABC,PNA,PAB,PCNA,PA,PBCNA
200,433,St. Croix River,Calais,14 km below Woodland Dam and Georgia Pacific Corp.,e,Eastern Interior,1050001,B,Basket or Artificial Substrate,40,11,9.5,24.6,,,728.667,34,0.333,84.667,3.016,3.154,0.117,0.294,18.333,16.333,1.7,0,0.333,27.667,0.116,17,0,0.029,32.333,53.114,0.571,0,0.488,0.461,0.051,0,1,0,0.996,0.004,0.162,0.838
201,434,St. Croix River,Woodland,"0.8 km below Woodland Dam, above Georgia Pacific outfall",e,Eastern Interior,1050001,C,Basket or Artificial Substrate,35,7,,22,,,2348.667,33,0.667,69,2.64,3.532,0.049,0.182,953.333,269.667,2.667,0,0.667,45,0.029,16,0,0.03,333.333,43.667,0.571,0.143,0.04,0.397,0.557,0.006,1,0,0.133,0.867,0.013,0.987
202,435,St. Croix River,Baileyville,6.4 km below Woodland Dam and Georgia Pacific Corp.,e,Eastern Interior,1050001,NA,Basket or Artificial Substrate,20,6,,24.8,,,1856.333,22,0.333,18.333,1.87,4.457,0.034,0.364,984.667,624.667,1.125,0,0.333,5,0.01,9,0,0.045,654.667,0,0.214,0,0.001,0.044,0.792,0.163,0.957,0.043,0.001,0.999,0.002,0.998
203,436,Lower Dead,Jackman,1.0 km below Long Falls dam: Big Eddy,w,Western Mountains,1030002,B,Basket or Artificial Substrate,,,,,,,1608.333,27,35.333,125.333,1.806,4.098,0.008,0.185,982.667,386.667,3,0,35.333,0,0.078,15,0,0.111,386.667,90.219,0.571,0.143,0.084,0.744,0.171,0.002,1,0,0.866,0.134,0.016,0.984
245,437,Dead River,T3 R4 BKP WKR,2.6 km below Long Falls dam; below Big Eddy,w,Western Mountains,1030002,B,Basket or Artificial Substrate,,,,,,,550.667,21,22,153.667,2.322,3.852,0.005,0.143,241,103,4.333,0,22,0,0.279,13,0,0.095,103,127.367,0.571,0.286,0.419,0.559,0.022,0,1,0,0.998,0.002,0.414,0.586
204,438,Butterfield Brook,Caswell,Loring Air Force Base; .7 km below Butterfield Brook dam,e,Aroostook Lowlands,1010004,A,Basket or Artificial Substrate,,25,33,16,,,607,51,18.333,44.667,2.396,3.211,0.057,0.412,371.625,1.709,1.048,0.002,0.667,10.196,0.074,22,2.039,0.098,3.408,0,0.857,0.143,0.76,0.238,0.002,0,1,0,0.999,0.001,0.973,0.027
205,439,Greenlaw Brook,Limestone,Loring Air Force Base; 1.4 km below Malabean Lake dam,e,Aroostook Lowlands,1010004,A,Basket or Artificial Substrate,,25,50,16,,,352,52,27.333,122.333,3.85,4.275,0.267,0.462,33.068,2.265,0.625,0,0,11.75,0.348,15,0.671,0.038,11.329,0,0.429,0.143,0.745,0.252,0.002,0,1,0,1,0,0.889,0.111
206,440,Wolverton Brook,Caswell,above Loring Air Force Base,e,Aroostook Lowlands,1010004,A,Basket or Artificial Substrate,,13,23,10,,,72.333,34,31.667,20,4.076,1.962,0.106,0.324,0,0,1.727,0,0,0,0.276,19,0,0.147,0,0,0.786,0,0.987,0.013,0,0,1,0,1,0,1,0
130,441,Penobscot River,Lincoln,3 km above Lincoln Pulp an Paper,e,Eastern Lowlands,1020005,A,Cone,300,121.9,,25,,,304.333,41,3.667,104.667,4.007,4.042,0.173,0.341,11.506,68.337,1.643,0,3.333,30.581,0.344,23,0,0.098,69.017,9.79,0.929,0.429,0.665,0.323,0.012,0,1,0,1,0,0.979,0.021
129,442,Penobscot River,Lincoln,"4 km below Lincoln Pulp and Paper, east bank (in plume)",e,Eastern Lowlands,1020005,C,Cone,300,274.3,,25,,,145.333,48,8.333,28.667,4.21,4.527,0.119,0.208,0.667,4.667,1.4,0.069,8.333,7.28,0.197,14,3.453,0.021,7.44,23.333,0.5,0.143,0.806,0.191,0.004,0,1,0,0.996,0.004,0.93,0.07
128,443,Penobscot River,Lincoln,"4 km below Lincoln Pulp and Paper, west bank (out of plume)",e,Eastern Lowlands,1020005,A,Cone,900,152.4,,24,,,304.667,42,5.667,137,2.91,4.358,0.031,0.286,0.672,122.938,1.833,0,5.333,3.667,0.45,22,0.333,0.071,124.605,18.978,0.857,0.571,0.612,0.378,0.01,0,1,0,1,0,0.984,0.016
182,444,Mattamiscontis Stream,Mattamiscontis Twp,just above confluence with Penobscot,e,Eastern Lowlands,1020005,,Basket or Artificial Substrate,8,27.5,,27,,,99.333,35,19.333,25,3.381,3.197,0.064,0.371,30,4.667,1.231,0,19,0.745,0.252,16,0,0.114,5.784,36.619,0.714,0.286,0.923,0.076,0,0,1,0,1,0,0.997,0.003
183,445,Mattamiscontis Stream,Mattamiscontis Twp,0.5 km above confluence with Penobscot R.,e,Eastern Lowlands,1020005,A,Basket or Artificial Substrate,15,27.5,,,,,176,35,15.667,57.667,3.969,2.981,0.123,0.257,41.29,1.376,2.333,0,15.333,4.561,0.328,21,0,0.086,2.137,32.392,0.857,0.286,0.912,0.087,0,0,1,0,1,0,0.998,0.002
266,446,Birch Stream,Alton,Alton Bridge,e,Eastern Lowlands,1020005,A,Basket or Artificial Substrate,20,,,23,,,194.333,34,23.333,24,3.078,4.359,0.396,0.353,45.572,4.081,1.25,0.002,23.333,1.75,0.123,15,0,0.059,5.831,35.485,0.571,0.429,0.568,0.42,0.011,0,1,0,0.998,0.002,0.937,0.063
62,447,Penobscot River,Orono,1.2 km above confluence with Stillwater R.,e,Central Interior,1020005,A,Cone,100,182.8,,24,,,107,25,3.5,32.5,3.171,3.031,0.107,0.24,27.5,0,2.833,0,2.5,0,0.304,17,0,0.2,1.045,11.25,0.857,0.429,0.841,0.155,0.003,0,1,0,1,0,0.999,0.001
176,448,Penobscot River,Veazie,Above Bangor Hydro and Veazie Dam,e,Central Interior,1020005,B,Cone,200,762,,25,,,94,29,3,30.333,3.401,5.223,0.291,0.276,0,0,1.5,0.035,3,25,0.323,12,0,0.034,0.667,6.073,0.429,0.143,0.313,0.548,0.138,0.001,1,0,0.989,0.011,0.238,0.762
207,449,Penobscot River,Milford,Above Milford Dam; 0.8 km below Indian Island POTW,e,Central Interior,1020005,A,Cone,,,,,,,88.333,31,2.667,24.667,3.482,5.666,0.37,0.097,0,0.667,6,0.019,2,29.604,0.279,18,0.333,0.065,3.729,7.52,0.857,0.429,0.237,0.574,0.186,0.002,1,0,0.984,0.016,0.75,0.25
125,450,Penobscot River,Enfield,15 km below  Lincoln Pulp and Paper; 5 km upstream of Enfield dam,e,Eastern Lowlands,1020005,C,Cone,350,670.6,,,,,199.5,30,0,44.5,2.6,6.618,0.055,0.1,1,1,5.333,0,0,10.5,0.223,16,3.5,0,1,2.078,0.429,0.143,0,0.004,0.642,0.355,0.035,0.965,0.011,0.989,0.033,0.967
208,451,Penobscot River,Enfield,Mohawk Rapids,e,Eastern Lowlands,1020005,A,Cone,200,,,,,,194.333,49,1.667,26,3.712,5.916,0.137,0.265,1.333,2.667,1.692,0.103,0.333,17.436,0.134,22,2.684,0.061,5.402,9.692,0.857,0.429,0.264,0.569,0.166,0.001,1,0,0.968,0.032,0.766,0.234
208,452,Penobscot River,Enfield,Mohawk Rapids,e,Eastern Lowlands,1020005,A,Cone,300,152.5,,,,,303,34,9.667,139.667,3.582,3.147,0.041,0.265,23.793,32.54,2.444,0,5.667,5.441,0.461,22,0,0.088,33.991,37.604,0.929,0.429,0.843,0.156,0.001,0,1,0,1,0,0.997,0.003
209,453,Lower Dead,T3 R4 BKP WKR,1.1 km above confluence with Spencer Stream; above Grand Falls,w,Western Mountains,1030002,,Basket or Artificial Substrate,22,76,0.6,26,,,136.667,15,21.667,16.667,2.847,4.404,0.22,0.2,42.667,15.333,3.667,0,21.667,0,0.122,11,0,0.133,15.333,29,0.429,0.143,0.405,0.554,0.041,0,1,0,0.989,0.011,0.2,0.8
210,454,Lower Dead,T3 R4 BKP WKR,Below Grand Falls,w,Western Mountains,1030002,C,Basket or Artificial Substrate,,100,0.7,26.2,,,522.667,22,17.667,60.667,1.79,3.927,0.01,0.273,368,45.333,2.333,0,17.667,0,0.116,14,0,0.091,45.667,46.696,0.5,0.143,0.301,0.649,0.05,0.001,1,0,0.985,0.015,0.097,0.903
99,455,Prestile Stream,Mars Hill,Above Mars Hill POTW; .18 km below Mars Hill dam,e,Aroostook Lowlands,1010005,B,Basket or Artificial Substrate,12,30,,18,,,850.667,30,25.333,332,2.745,4.246,0.169,0.567,317.295,9.372,0.647,0,25.333,12.126,0.39,11,0,0.033,88.193,277.258,0.5,0.143,0.203,0.736,0.061,0,1,0,0.992,0.008,0.041,0.959
3,456,Prestile Stream,Blaine,Below Mars Hill POTW - Pierce Rd Bridge,e,Aroostook Lowlands,1010005,A,Basket or Artificial Substrate,22.5,22.5,,20,,,830.667,35,26.667,173.333,2.905,4.02,0.12,0.457,431.679,9.654,0.938,0.016,26.667,31.944,0.209,15,0,0.029,37.432,63.485,0.643,0.429,0.307,0.657,0.036,0,1,0,0.997,0.003,0.601,0.399
211,457,Presque Isle Stream,Presque Isle,above Presque Isle POTW,e,Aroostook Lowlands,1010004,B,Basket or Artificial Substrate,6,67,,20,208,,939.333,48,4,191,2.849,5.265,0.461,0.5,270.277,7.057,0.708,0,3.667,19.267,0.203,17,0.338,0.042,381.914,44.595,0.786,0.286,0.093,0.718,0.189,0,1,0,0.914,0.086,0.085,0.915
197,458,Presque Isle Stream,Presque Isle,below Presque Isle POTW,e,Aroostook Lowlands,1010004,A,Basket or Artificial Substrate,6,70,,21,263,,483.5,50,9,167.5,3.63,4.631,0.273,0.42,124.889,19.611,1,0.001,9,23,0.346,21,1,0.04,115.611,37.833,1,0.286,0.479,0.503,0.018,0,1,0,0.999,0.001,0.774,0.226
212,459,Pattee Brook,Fort Fairfield,1.6 km down Sam Everett Rd.,e,Aroostook Lowlands,1010004,A,Basket or Artificial Substrate,3,67,,15,,,935.5,50,10.5,271,2.648,4.001,0.092,0.32,484.931,3.069,1.125,0.002,9,5.732,0.29,18,0.521,0.06,32.771,172.272,0.857,0.286,0.397,0.584,0.019,0,1,0,0.999,0.001,0.62,0.38
95,460,Caribou Stream,Caribou,15.2 m above Rt. 1 bridge,e,Aroostook Lowlands,1010004,B,Basket or Artificial Substrate,5,65,,17,,,1341.333,39,2.667,257.333,2.478,4.255,0.138,0.385,805.142,6.858,1.067,0.002,1.333,37.624,0.192,16,0,0.026,107.189,79.877,0.786,0.143,0.06,0.592,0.348,0.001,1,0,0.736,0.264,0.032,0.968
213,461,Salmon Stream,Washburn,above Woodland Rd.,e,Aroostook Hills,1010004,B,Basket or Artificial Substrate,5,65,,12,,,1165.333,38,20,120,3.258,5.531,0.704,0.447,77.333,2.667,0.941,0.001,16,70.897,0.103,16,0,0.105,393.27,60.8,0.786,0.429,0.08,0.781,0.139,0,1,0,0.987,0.013,0.193,0.807
214,462,Salmon Stream,Washburn,below Washburn; 1.4 km below McCain Foods Inc.,e,Aroostook Hills,1010004,B,Basket or Artificial Substrate,9,21.3,,14,,,1309.333,33,4,298.667,3.176,4.316,0.217,0.485,538.371,17.629,0.875,0.002,1.333,75.176,0.228,14,0,0.061,123.433,69.818,0.571,0.286,0.078,0.623,0.299,0,1,0,0.923,0.077,0.059,0.941
10,463,North Branch Presque Isle Stream,Mapleton,above Mapleton,e,Aroostook Lowlands,1010004,A,Basket or Artificial Substrate,3,67,,15,114,,233,55,4,84,3.995,4.475,0.276,0.455,52.595,7.072,0.96,0,2,10.496,0.361,24,1.016,0.091,35.852,49.494,1.143,0.286,0.713,0.279,0.008,0,1,0,1,0,0.979,0.021
11,464,North Branch Presque Isle Stream,Mapleton,.2 km below Mapleton POTW,e,Aroostook Lowlands,1010004,B,Basket or Artificial Substrate,5,65,,12,,,1086,60,5.333,175.333,3.154,5.411,0.587,0.5,215.911,7.422,0.667,0,4,58.975,0.161,20,0.335,0.05,347.197,113.879,0.929,0.143,0.16,0.753,0.086,0,1,0,0.99,0.01,0.065,0.935
215,465,Dudley Brook,Chapman,below West Chapman Rd.,e,Aroostook Lowlands,1010004,B,Basket or Artificial Substrate,1,68,,18,204,,308.667,30,0.667,81.667,2.94,4.791,0.376,0.567,78.264,20.402,0.647,0.002,0,35.304,0.265,11,0,0.033,41.585,79.658,0.5,0.143,0.099,0.49,0.41,0.001,1,0,0.588,0.412,0.026,0.974
194,466,East Branch Sebasticook,Corinna,0.12 km below Eastland Woolen Mill,e,Central Interior,1030003,C,Basket or Artificial Substrate,7.5,40,30.5,25,143,,1679.333,42,0,20,1.937,4.944,0.143,0.286,165.708,1137.292,1.083,0,0,5.936,0.012,13,0,0,1283.096,0.667,0.286,0,0,0.014,0.646,0.339,0.196,0.804,0.003,0.997,0.001,0.999
90,467,East Branch Sebasticook,Corinna,60 m above Corinna POTW,e,Central Interior,1030003,C,Basket or Artificial Substrate,4.2,30,,25,142,,781.667,42,0,99,2.538,3.758,0.03,0.381,361.418,118.916,0.75,0.004,0,3.621,0.127,12,0,0,122.939,18.333,0.357,0,0.01,0.066,0.884,0.04,0.999,0.001,0.006,0.994,0.003,0.997
20,468,East Branch Sebasticook,Corinna,0.13 km below Corinna POTW,e,Central Interior,1030003,NA,Basket or Artificial Substrate,4.8,25,35.56,25,207,,135.333,33,0,0.333,3.844,5.224,0.663,0.424,6.667,0,0.214,0.059,0,37.816,0.002,3,2.559,0,23.781,0,0.071,0,0,0.002,0.2,0.798,0,1,0,1,0.003,0.997
48,469,Goosefare Brook,Saco,75 m below Jenkins Rd. Crossing,s,South Coastal Region,1060001,A,Basket or Artificial Substrate,1.2,35,,16,100,,272.333,49,1.333,69.333,3.993,4.291,0.486,0.531,0,0,0.538,0,0,65.275,0.255,14,4.257,0.041,18.548,8.667,0.5,0.286,0.602,0.37,0.028,0,1,0,0.994,0.006,0.817,0.183
49,470,Goosefare Brook,Saco,0.5 km below I-195,s,South Coastal Region,1060001,C,Basket or Artificial Substrate,1.2,35,10.18,18,610,,79.667,47,0,4.333,4.911,6.128,0.573,0.489,0,0,0.348,0.013,0,3.928,0.054,8,1.491,0,12.767,0.333,0.286,0,0.002,0.011,0.912,0.076,0.947,0.053,0,1,0.005,0.995
216,471,Carpenter Brook,Waterboro,above Waterboro Patent Tannery site; 75 m below dam,w,Southwest Interior,1060003,C,Basket or Artificial Substrate,1.8,30,,23.5,67.5,,575,66,0,208.667,3.436,6.747,0.266,0.409,1.333,0.333,0.481,0.001,0,69.717,0.363,13,9.42,0,57.614,7.35,0.286,0,0.001,0.023,0.967,0.009,1,0,0.004,0.996,0.003,0.997
217,472,Carpenter Brook,Waterboro,27 m below Waterboro Patent Tannery (closed) site degreasing lagoons,w,Southwest Interior,1060003,A,Basket or Artificial Substrate,1.8,30,12.7,23,83,,504.333,61,0.667,287.667,3.534,5.073,0.193,0.393,2.828,8.838,0.875,0.001,0,16.812,0.57,21,0.333,0.016,47.329,86.12,0.5,0.143,0.381,0.56,0.059,0,1,0,1,0,0.161,0.839
69,473,Little River,Standish,Above GTE; 0.4 km above bridge at Shaw Mills.,w,Southwest Interior,1060001,B,Basket or Artificial Substrate,2.4,25,9.14,20,64,,453.667,69,2,68,4.233,6.531,0.243,0.464,0,0,0.625,0.019,0,8.886,0.15,20,10.22,0.029,15.921,7.667,0.643,0.143,0.211,0.635,0.154,0,1,0,0.954,0.046,0.105,0.895
70,474,Little River,Standish,Below GTE; 10 m below culvert at Shaw Mills crossing,w,Southwest Interior,1060001,B,Basket or Artificial Substrate,2.7,37.5,,15,75,,172,47,2.333,73,3.469,5.349,0.477,0.468,0,0,0.727,0.002,0,42.439,0.424,16,1.079,0.043,14.386,1,0.714,0.286,0.348,0.566,0.086,0,1,0,0.995,0.005,0.551,0.449
218,475,Red Brook,Scarborough,Above Running Hill Rd. and RWS Landfill,s,South Coastal Region,1060001,C,Basket or Artificial Substrate,1.4,41.3,3.05,18,183,,136,40,1.667,12.667,3.74,5.773,0.676,0.5,0,0,0.65,0.01,0,1.716,0.093,13,8.572,0.025,11.672,0.667,0.5,0.143,0.169,0.507,0.322,0.002,1,0,0.211,0.789,0.069,0.931
219,476,Red Brook,Scarborough,50 m below Running Hill Rd. crossing; below RWS Landfill,s,South Coastal Region,1060001,,Basket or Artificial Substrate,1.1,60,,17,161,,113.333,41,0,10.333,3.732,5.972,0.765,0.463,0,0,0.684,0.006,0,11.394,0.091,13,0.667,0,31.076,0,0.429,0.143,0.001,0.01,0.858,0.132,0.728,0.272,0.001,0.999,0.02,0.98
150,477,Carleton Stream,Blue Hill,Below Second Pond : below mine site,e,Penobscot Bay Region,1050002,NA,Basket or Artificial Substrate,1.8,50,,21.5,82,,161.333,19,1,0.667,3.149,5.708,0.548,0.316,0,0,1.5,0,0,30.219,0.004,9,0,0.053,0,0,0.143,0,0.016,0.144,0.514,0.326,0.029,0.971,0.003,0.997,0.045,0.955
220,478,Hatchery Brook,Gray,Dry Mills state hatchery below settling pond,e,Southwest Interior,1060001,C,Basket or Artificial Substrate,2.4,38.1,,12,74,,9080,48,26.667,88,2.894,5.302,0.615,0.625,21.867,0,0.367,0.006,0,68.565,0.01,11,1789.472,0.042,139.872,0,0.5,0.143,0.043,0.851,0.106,0,1,0,0.594,0.406,0.022,0.978
221,479,Libby Brook,Gray,50 m below Weymouth Rd. crossing,e,Southwest Interior,1060001,B,Basket or Artificial Substrate,3.9,76.2,,15,174.4,,555.667,72,4.667,67,3.875,4.29,0.229,0.472,61.293,74.374,0.647,0.001,0,21.223,0.121,22,1.674,0.028,81.785,8.667,0.714,0,0.794,0.204,0.002,0,1,0,1,0,0.793,0.207
74,480,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,B,Basket or Artificial Substrate,18,50,,19,57.6,,1026.667,40,24,180,3.855,4.106,0.266,0.325,248.954,19.046,1.538,0.001,22.667,4,0.175,20,0,0.05,44.379,56,0.714,0.143,0.408,0.573,0.018,0,1,0,0.999,0.001,0.29,0.71
42,481,Androscoggin River,Rumford,"20 m below Rt 232 bridge, above Boise Cascade mill",w,Western Mountains,1040002,A,Basket or Artificial Substrate,350,65,,22,64,,460.333,67,9,206.667,4.21,4.615,0.264,0.328,12.188,52.813,1.273,0.001,6.667,6.475,0.449,28,0,0.045,91.323,80.017,1.143,0.571,0.761,0.237,0.002,0,1,0,1,0,0.998,0.002
41,482,Androscoggin River,Mexico,4.2 km below Boise Cascade mill,w,Western Mountains,1040002,B,Basket or Artificial Substrate,52.5,45,,23,106,,602.333,48,15.333,126.667,3.872,4.963,0.727,0.458,6.057,4.276,0.727,0.008,15.333,31.481,0.21,16,0,0.042,88.454,24.536,0.786,0.143,0.37,0.605,0.025,0,1,0,0.998,0.002,0.244,0.756
265,483,Androscoggin River,Jay,"Lower Otis impoundment, below IP mill",e,Western Foothills,1040002,NA,Cone,300,375,,23,126,,64.667,26,0,1,2.782,4.767,0.036,0.192,0,1,1.4,0.015,0,0.389,0.015,7,0,0,1.389,0.333,0.214,0,0,0.001,0.048,0.951,0,1,0.001,0.999,0.007,0.993
222,484,Androscoggin River,Livermore Falls,Livermore dam lower bypass reach,e,Western Foothills,1040002,B,Basket or Artificial Substrate,250,50,,21,138,,490.333,29,6.333,48.667,1.975,4.415,0.184,0.345,319.429,10.577,1.1,0.001,6.333,0.672,0.099,11,0,0.103,65.986,4,0.429,0.143,0.155,0.712,0.131,0.002,1,0,0.95,0.05,0.032,0.968
223,485,Presumpscot River,Windham,.4 km below Rt. 35 crossing (river proper),s,Southwest Interior,1060001,B,Basket or Artificial Substrate,20,45,,21,43.8,,926.667,41,1.667,118.333,3.451,4.274,0.183,0.317,160.724,0.336,1.462,0.001,1.667,0.335,0.128,19,0,0.049,13.053,26.235,0.643,0,0.269,0.634,0.097,0,1,0,0.99,0.01,0.055,0.945
224,486,Presumpscot River,Windham,70 m below Mallison dam,s,South Coastal Region,1060001,B,Basket or Artificial Substrate,25,37.5,,21,47.2,,2126.667,39,10.333,83.667,3.031,4.062,0.231,0.385,490.876,40.972,1.333,0,9.667,2.019,0.039,20,0,0.051,108.278,19.333,0.571,0,0.156,0.745,0.1,0,1,0,0.99,0.01,0.013,0.987
72,487,Presumpscot River,Westbrook,3.2 km below S D Warren Co.; just above Rt. 302 (Riverton) Bridge,s,South Coastal Region,1060001,NA,Cone,40,240,,23,140,,201.667,24,0,0,2.148,7.173,0.013,0.083,0,0.333,1.5,0.017,0,0,0,3,0,0,2.667,0,0,0,0,0,0,1,0,1,0,1,0.004,0.996
62,488,Penobscot River,Orono,1.2 km above confluence with Stillwater R.,e,Central Interior,1020005,A,Basket or Artificial Substrate,200,90,,25.5,,,277.667,44,11,50.333,3.239,4.452,0.028,0.182,113.326,0.335,3.25,0,11,1.394,0.181,26,0,0.068,0.684,7.857,0.857,0.714,0.666,0.326,0.007,0,1,0,1,0,0.999,0.001
225,489,Royal River,New Gloucester,8 m below Penny Rd. crossing,e,South Coastal Region,1060001,B,Basket or Artificial Substrate,6,25,37,21,,,576.667,41,23.667,16.333,3.192,3.929,0.162,0.585,174.526,52.807,0.542,0,0,15,0.028,13,3,0.049,55.807,9.333,0.5,0,0.57,0.418,0.012,0,1,0,0.997,0.003,0.226,0.774
226,490,Royal River,Gray,.6 km below Depot Rd. crossing,e,South Coastal Region,1060001,A,Basket or Artificial Substrate,8,45,60,18,,,1415.667,69,82,308.667,3.442,3.503,0.101,0.406,439.262,258.738,1,0.001,0,85.399,0.218,28,0.335,0.058,260.748,29,0.929,0.429,0.809,0.19,0,0,1,0,1,0,0.993,0.007
227,491,Collyer Brook,Gray,50 m below Merrill Rd. crossing,e,South Coastal Region,1060001,A,Basket or Artificial Substrate,5,32,100,18,,,595.667,62,134.667,209.333,4.194,2.428,0.103,0.403,36.144,16.189,1.04,0.046,3.333,28.333,0.351,26,0.667,0.113,16.856,4.333,1.071,0.286,0.978,0.022,0,0,1,0,1,0,1,0
228,492,Collyer Brook,Gray,.19 km above confluence with Royal River,e,South Coastal Region,1060001,A,Basket or Artificial Substrate,4,30,54,17,,,312.333,51,56.667,156.667,3.387,2.039,0.055,0.353,24.333,4.667,1.389,0.005,0.333,11,0.502,25,0,0.118,4.667,8,1,0.429,0.98,0.02,0,0,1,0,1,0,1,0
229,493,Little Madawaska River,Caribou,above Loring Air Force Base STP,e,Aroostook Lowlands,1010004,A,Basket or Artificial Substrate,10,50,88,19,,,645,41,38,299,3.626,2.812,0.104,0.317,198.457,8.877,2.077,0.001,6,7.667,0.464,27,0,0.195,11.877,10.635,1.357,0.571,0.845,0.155,0,0,1,0,1,0,1,0
230,494,Little Madawaska River,Caribou,below Loring Air Force Base STP,e,Aroostook Lowlands,1010004,B,Basket or Artificial Substrate,30,30,75,17,,,1261,44,23.333,176.667,2.306,4.034,0.056,0.455,748.976,189.357,0.9,0.004,0.667,6.333,0.14,18,0,0.091,208.691,0,0.714,0.143,0.226,0.721,0.053,0,1,0,0.997,0.003,0.106,0.894
53,495,Great Works River,North Berwick,"60 m above Pratt Whitney outfall, about 0.8 km above Rt. 9 bridge",s,South Coastal Region,1060003,C,Basket or Artificial Substrate,19.8,100,,20,75,,55.667,39,0,12,4.014,6.574,0.108,0.256,0,0,1.2,0,0,2.471,0.216,12,0.333,0,2.118,1.12,0.571,0,0.001,0.007,0.743,0.249,0.161,0.839,0.002,0.998,0.014,0.986
54,496,Great Works River,North Berwick,"70 m below Pratt Whitney, about 0.8 km above Rt. 9 bridge",s,South Coastal Region,1060003,C,Basket or Artificial Substrate,27.4,100,,20,74,,107.667,42,0,5,3.419,7.565,0.074,0.19,0,0,1.125,0.003,0,5,0.046,9,6.333,0,2.667,0,0.429,0,0,0.001,0.242,0.757,0,1,0,1,0.012,0.988
276,497,Salmon Falls River,Berwick,"60 m. below Stone Dam, Berwick, above Berwick STP",s,Southwest Interior,1060003,C,Basket or Artificial Substrate,9.1,42.7,,23,84,,1070.667,22,5.333,89.333,2.58,3.571,0.036,0.545,302.444,0,0.667,0,5.333,10.667,0.083,8,0,0.045,1.333,30.667,0.286,0.143,0.22,0.654,0.126,0,1,0,0.825,0.175,0.081,0.919
52,498,Salmon Falls River,Berwick,50 m below Berwick POTW,s,Southwest Interior,1060003,,Basket or Artificial Substrate,10,42.7,,25,530,,10978.667,40,8,26.667,2.612,5.066,0.381,0.5,762.834,4414.149,0.75,0,8,3549.383,0.002,15,342.242,0.05,4521.79,10.667,0.429,0.286,0.004,0.318,0.676,0.002,1,0,0.003,0.997,0.012,0.988
267,499,Adams Brook,Berwick,Above Knights Pond Rd. crossing,s,South Coastal Region,1060003,,Basket or Artificial Substrate,2.7,33.5,,21,72,,46.667,35,0,3,4.398,5.512,0.193,0.314,1.038,7.269,1.091,0,0,3.273,0.064,12,0.409,0,10.133,0,0.286,0,0.004,0.012,0.676,0.308,0.188,0.812,0.001,0.999,0.006,0.994
74,500,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,B,Basket or Artificial Substrate,23.7,42.7,,22,48.5,,1055.667,50,23,68.667,3.017,3.065,0.135,0.4,29.508,61.698,1,0,23,28.185,0.065,20,0,0.02,64.482,45.973,0.571,0.286,0.807,0.193,0.001,0,1,0,1,0,0.964,0.036
74,501,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,,Basket or Artificial Substrate,23.7,42.7,,22,50.5,,1034.333,45,17,79.667,2.627,2.928,0.075,0.289,46.196,97.992,1.692,0,17,23.667,0.077,22,0,0.022,98.659,41.218,0.643,0.429,0.783,0.216,0.001,0,1,0,1,0,0.985,0.015
268,502,West Branch Sheepscot,China,Weeks Mills - 100ft upstrm of Dirigo Rd crossing,e,Central Interior,1050003,,Basket or Artificial Substrate,5,30.5,2.03,21,49,,20.333,21,4,3,3.95,2.982,0.131,0.333,0,0.667,1.286,0,4,2,0.148,9,0,0.048,1,5,0.214,0,0.954,0.044,0.001,0,1,0,0.999,0.001,0.973,0.027
269,503,Deep Brook,Saco,Above Rt. 5 crossing,s,South Coastal Region,1060002,NA,Basket or Artificial Substrate,6,60.9,,18,284,,74,19,0,4.5,2.297,5.985,0.811,0.526,0,0,0.3,0,0,49.412,0.061,3,1.008,0,7.059,0,0.071,0,0,0.001,0.235,0.764,0,1,0,1,0.004,0.996
270,504,Kennebunk River,Arundel,Bartlett Mills - 15 m above Rt 1 bridge,s,South Coastal Region,1060003,A,Basket or Artificial Substrate,13,45,,23,74,,369.333,45,5.667,95,4.247,4.337,0.292,0.4,32.619,34.637,1.111,0,5.667,72.447,0.257,20,0,0.022,35.979,50.847,0.714,0.286,0.607,0.377,0.015,0,1,0,1,0,0.864,0.136
48,505,Goosefare Brook,Saco,75 m below Jenkins Rd. Crossing,s,South Coastal Region,1060001,B,Basket or Artificial Substrate,1.2,45.7,,17,74,,193.333,36,9,26.667,4.298,5.043,0.622,0.472,0,0.333,0.765,0,0,28.731,0.138,13,15.549,0.028,23.994,4.667,0.357,0.286,0.416,0.519,0.065,0,1,0,0.951,0.049,0.407,0.593
271,506,Goosefare Brook,Saco,80 m above Industrial Park Rd. crossing,s,South Coastal Region,1060001,,Basket or Artificial Substrate,2,45.7,,18,676,,25,21,1,3,3.885,5.489,0.347,0.476,0,0,0.6,0,0,1.806,0.12,6,0,0.048,2.167,0,0.214,0,0.213,0.306,0.449,0.032,0.998,0.002,0.062,0.938,0.032,0.968
